ID;Variable;Question;Details;Type;Possible_Answers;Observations
112;B3_2_gender_equality;La igualdad de género es parte de las políticas de mi institución;Factores educativos: percepción institucional de la igualdad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
113;B3_3_gender_equality;Las personas de mi organización reciben el mismo apoyo institucional, independientemente de su género.;Factores educativos: percepción institucional de la igualdad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
114;B3_4_gender_equality;Mis compañeras/os tratan a sus pares de otros géneros por igual.;Factores educativos: percepción institucional de la igualdad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
115;B3_5_gender_equality;Las/los profesoras/es /líderes de mi facultad/unidad de negocios tratan a todas/os los estudiantes/personal por igual, independientemente de su género.;Factores educativos: percepción institucional de la igualdad de género;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
116;B4_1_peer_group_interac;Desde que llegué a esta Institución he desarrollado una estrecha relación personal con otros compañeras/os;Factores educativos: interacciones entre pares y grupos;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
117;B4_2_peer_group_interac;Las amistades de las/os  compañeras/os que desarrollé en esta Institución fueron personalmente satisfactorias;Factores educativos: interacciones entre pares y grupos;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
118;B4_3_peer_group_interac;Mis relaciones interpersonales con otras/os compañeras/os han influido positivamente en mi crecimiento personal, actitudes y valores.;Factores educativos: interacciones entre pares y grupos;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
119;B4_4_peer_group_interac;Mis relaciones interpersonales con otras/os compañeras/os influyeron positivamente en mi crecimiento intelectual e interés en ideas.;Factores educativos: interacciones entre pares y grupos;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
120;B4_5_peer_group_interac;Me ha costado conocer y hacer amistad con otras/os compañeras/os.;Factores educativos: interacciones entre pares y grupos;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
121;B4_6_peer_group_interac;Pocos de las/os compañeras/os que conozco estarían dispuestos a escucharme y ayudarme si tuviera un problema personal;Factores educativos: interacciones entre pares y grupos;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
122;B4_7_peer_group_interac;La mayoría de las/os compañeras/os de mi institución tienen valores y actitudes diferentes a los míos.;Factores educativos: interacciones entre pares y grupos;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
123;C1_1_org_culture;Mi empleadora/or promueve la igualdad de oportunidades para el desarrollo y la progresión profesional de las personas talentosas.;Factores profesionales: cultura organizacional;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
124;C1_2_org_culture;Las/os líderes en mi lugar de trabajo son conscientes del valor de apoyar una fuerza laboral diversa;Factores profesionales: cultura organizacional;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
125;C1_3_org_culture;Mi empleadora/or garantiza mensajes neutros en cuanto al género en los anuncios de trabajo;Factores profesionales: cultura organizacional;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
126;C1_4_org_culture;Mi lugar de trabajo tiene mujeres en puestos de alta dirección;Factores profesionales: cultura organizacional;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
127;C1_5_org_culture;Mi lugar de trabajo tiene un programa de recompensas para reconocer a las colaboradoras mujeres.;Factores profesionales: cultura organizacional;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
128;C2_1_self_determ;Tengo una autonomía significativa para determinar cómo hago mi trabajo;Factores profesionales: Apoyo en el lugar de trabajo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
129;C2_2_self_determ;Puedo decidir por mí mismo cómo hacer mi trabajo;Factores profesionales: Apoyo en el lugar de trabajo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
130;C2_3_self_determ;Tengo considerables oportunidades de independencia y libertad en la forma en que hago mi trabajo.;Factores profesionales: Apoyo en el lugar de trabajo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
131;C2_4_impact;Tengo un gran impacto en lo que sucede en mi departamento u organización.;Factores profesionales: Apoyo en el lugar de trabajo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
132;C2_5_impact;Tengo mucho control sobre lo que sucede en mi departamento.;Factores profesionales: Apoyo en el lugar de trabajo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
133;C2_6_impact;Tengo una influencia significativa sobre lo que sucede en mi departamento ;Factores profesionales: Apoyo en el lugar de trabajo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
134;E1_1_sexism;Alguien en el trabajo/universidad hace comentarios despectivos sobre tu género;Factores sociales: sexismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
135;E1_2_sexism;Alguien en el trabajo/universidad hace bromas sobre tu género;Factores sociales: sexismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
136;E1_3_sexism;Alguien en el trabajo/universidad usa insultos sexistas para describirte.;Factores sociales: sexismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
137;E1_4_sexism;Alguien en el trabajo/universidad hace comentarios sexistas (por ejemplo, dice que las personas de tu género no son muy inteligentes o no pueden hacer el trabajo);Factores sociales: sexismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
138;E1_5_sexism;Alguien en el trabajo/universidad lo excluye de las interacciones sociales durante o después del trabajo debido a su género;Factores sociales: sexismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
139;E1_6_sexism;Alguien en el trabajo/universidad no te da la información que necesitas para hacer tu trabajo debido a tu género;Factores sociales: sexismo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
140;E2_1_lead_behav_bias;Las mujeres no permitirían que sus emociones influyeran en su comportamiento gerencial más que los hombres.;Factores sociales: sesgo en el comportamiento de liderazgo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
141;E2_2_lead_behav_bias;Para ser una ejecutiva exitosa, una mujer no tiene que sacrificar parte de su feminidad.;Factores sociales: sesgo en el comportamiento de liderazgo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
142;E2_3_lead_behav_bias;Las mujeres no son lo suficientemente ambiciosas para triunfar en el mundo del trabajo.;Factores sociales: sesgo en el comportamiento de liderazgo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
143;E2_4_lead_behav_bias;Las mujeres no pueden ser asertivas en situaciones de negocios que lo requieran.;Factores sociales: sesgo en el comportamiento de liderazgo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
144;E2_5_lead_behav_bias;Las mujeres tienen la confianza en sí mismas que requiere una buena líder.;Factores sociales: sesgo en el comportamiento de liderazgo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
145;E2_6_lead_behav_bias;Las mujeres no son lo suficientemente competitivas para tener éxito en el mundo del trabajo.;Factores sociales: sesgo en el comportamiento de liderazgo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
146;E2_7_lead_behav_bias;Las mujeres no pueden ser agresivas en situaciones de negocios que lo requieran.;Factores sociales: sesgo en el comportamiento de liderazgo;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";?
147;E3_1_women_stereotypes;Las mujeres ahora son vistas como autoeficaces;Factores sociales: estereotipos relacionados con las mujeres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
148;E3_2_women_stereotypes;Las mujeres ahora son vistas como optimistas;Factores sociales: estereotipos relacionados con las mujeres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
149;E3_3_women_stereotypes;En la actualidad, se considera que las mujeres son altamente calificadas en matemáticas.;Factores sociales: estereotipos relacionados con las mujeres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
150;E3_4_women_stereotypes;Ahora se considera que las mujeres son altamente calificadas en ingeniería;Factores sociales: estereotipos relacionados con las mujeres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
151;E3_5_women_stereotypes;Ahora se considera que las mujeres son altamente calificadas en tecnología.;Factores sociales: estereotipos relacionados con las mujeres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
152;E3_6_women_stereotypes;Las mujeres ahora son vistas como independientes;Factores sociales: estereotipos relacionados con las mujeres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
153;E3_7_women_stereotypes;Las mujeres ahora son vistas como autónomas;Factores sociales: estereotipos relacionados con las mujeres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
154;E3_8_women_stereotypes;Actualmente se considera que las mujeres dependen de otras personas.;Factores sociales: estereotipos relacionados con las mujeres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
155;F1_1_family_supp;Mis familiares confían en mí.;Factores sociales: apoyo familiar;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
156;F1_2_family_supp;Mi familia me cuida;Factores sociales: apoyo familiar;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
157;F1_3_family_supp;Mi familia me respeta;Factores sociales: apoyo familiar;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
158;F1_4_family_supp;Mi familia me tiene en alta estima;Factores sociales: apoyo familiar;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
159;F1_5_family_supp;Soy amado por mi familia;Factores sociales: apoyo familiar;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
160;F1_6_family_supp;No me siento cercano a mi familia;Factores sociales: apoyo familiar;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
161;F2_1_parental_expectations;Mi madre o padre me dio material escrito sobre carreras específicas;Factores sociales: expectativas de los padres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
162;F2_2_parental_expectations;Mi madre o padre me dio material escrito sobre universidades específicas;Factores sociales: expectativas de los padres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
163;F2_3_parental_expectations;Mi madre o padre me incentivó a hacer preguntas sobre diferentes trabajos;Factores sociales: expectativas de los padres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
164;F2_4_parental_expectations;Mi madre o padre me incentivó a hablar con ellos sobre mis planes profesionales;Factores sociales: expectativas de los padres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
165;F2_5_parental_expectations;Mi madre o padre dice que se sentiría decepcionada/o si no entro en una carrera específica en la que él/ella quiere que entre.;Factores sociales: expectativas de los padres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
166;F3_1_parent_completed_college;Mi madre o mi padre se graduaron de estudios superiores;Factores sociales: Antecedentes educativos de los padres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
167;F3_2_parent_completed_college_stem;Mi madre o mi padre completaron la educación superior en una carrera STEM ;Factores sociales: Antecedentes educativos de los padres;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
168;G1_1_stem_career_interest;Estoy muy interesada/o en trabajos relacionados con STEM;Variables dependientes: Interés en la carrera STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
169;G1_2_stem_career_interest;Espero que mi trabajo futuro pueda estar relacionado con STEM;Variables dependientes: Interés en la carrera STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
170;G1_3_stem_career_interest;La carrera de mis sueños está relacionada con STEM;Variables dependientes: Interés en la carrera STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
171;G1_4_stem_career_interest;Espero que mi trabajo futuro pueda usar STEM;Variables dependientes: Interés en la carrera STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
172;G1_5_stem_career_interest;Me interesa ser científica/o, ingeniera/o o tecnóloga/o;Variables dependientes: Interés en la carrera STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
173;G2_01_mtl_affective_identity;La mayoría de las veces, prefiero ser una/un líder que una/un seguidora/or cuando trabajo con un grupo.;Variables dependientes: Motivación para liderar – Identidad afectiva.;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
174;G2_02_mtl_affective_identity;Soy el tipo de persona que no está interesada en liderar a otras/os.;Variables dependientes: Motivación para liderar – Identidad afectiva.;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
175;G2_03_mtl_affective_identity;Definitivamente no soy una/un líder por naturaleza.;Variables dependientes: Motivación para liderar – Identidad afectiva.;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
176;G2_04_mtl_affective_identity;Soy el tipo de persona a la que le gusta estar a cargo de las/os demás.;Variables dependientes: Motivación para liderar – Identidad afectiva.;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
177;G2_05_mtl_affective_identity;Creo que puedo contribuir más a un grupo si soy una/un seguidora/or que un líder.;Variables dependientes: Motivación para liderar – Identidad afectiva.;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
178;G2_06_mtl_affective_identity;Normalmente quiero ser la/el líder en los grupos donde trabajo.;Variables dependientes: Motivación para liderar – Identidad afectiva.;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
179;G2_07_mtl_affective_identity;Soy del tipo de persona que apoyaría activamente a una/un líder, pero prefiero no ser nombrada/o líder.;Variables dependientes: Motivación para liderar – Identidad afectiva.;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
180;G2_08_mtl_affective_identity;Tiendo a tomar las riendas de la mayoría de los grupos o equipos con los que trabajo.;Variables dependientes: Motivación para liderar – Identidad afectiva.;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
181;G2_09_mtl_affective_identity;Rara vez me resisto a ser la/el líder de un grupo.;Variables dependientes: Motivación para liderar – Identidad afectiva.;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
182;G2_10_mtl_social_normative;Siento que tengo el deber de guiar a otras/os personas si me lo piden.;Variables dependientes: Motivación para liderar - Identidad afectiva - Socionormativa;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
183;G2_11_mtl_social_normative;Acepto liderar cuando otras/os personas me lo pidan o me indiquen.;Variables dependientes: Motivación para liderar - Identidad afectiva - Socionormativa;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
184;G2_12_mtl_social_normative;Me enseñaron a creer en el valor de liderar a otras/os ;Variables dependientes: Motivación para liderar - Identidad afectiva - Socionormativa;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
185;G2_13_mtl_social_normative;Es apropiado que las personas acepten roles o posiciones de liderazgo cuando se les solicite.;Variables dependientes: Motivación para liderar - Identidad afectiva - Socionormativa;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";?
186;G2_14_mtl_social_normative;Me enseñaron que siempre debo ofrecerme como voluntaria/o para guiar a otras/os personas si puedo.;Variables dependientes: Motivación para liderar - Identidad afectiva - Socionormativa;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
187;G2_15_mtl_social_normative;No está bien rechazar roles de liderazgo.;Variables dependientes: Motivación para liderar - Identidad afectiva - Socionormativa;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
188;G2_16_mtl_social_normative;Es un honor y un privilegio que me pidan que lidere.;Variables dependientes: Motivación para liderar - Identidad afectiva - Socionormativa;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
189;G2_17_mtl_social_normative;Las personas deben ofrecerse como voluntarias para liderar en lugar de esperar a que otras/os personas pregunten o voten por ellas.;Variables dependientes: Motivación para liderar - Identidad afectiva - Socionormativa;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
190;G2_18_mtl_social_normative;Nunca aceptaría liderar solo porque otras/os personas votaron por mí.;Variables dependientes: Motivación para liderar - Identidad afectiva - Socionormativa;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";Reverse Coding Recommended
191;G3_01_policy_importance;Considero que las siguientes políticas son totalmente relevantes [Garantizar un mismo salario por el mismo trabajo.];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
192;G3_02_policy_importance;Considero que las siguientes políticas son totalmente relevantes [Preservar un balance entre la vida laboral y personal.];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
193;G3_03_policy_importance;Considero que las siguientes políticas son totalmente relevantes [Erradicar el acoso sexual y violencia.];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
194;G3_04_policy_importance;Considero que las siguientes políticas son totalmente relevantes [Garantizar una paridad de género para puestos de liderazgo/políticos.];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
195;G3_05_policy_importance;Considero que las siguientes políticas son totalmente relevantes [Garantizar la participación de mujeres (cuota de género).];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
196;G3_06_policy_importance;Considero que las siguientes políticas son totalmente relevantes [Atraer la participación de mujeres en campos STEM.];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
197;G3_07_policy_importance; Considero que las siguientes políticas son totalmente relevantes [Organizar programas de tutoría para mujeres jóvenes (como conocer mujeres ingenieras, etc.).];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
198;G3_08_policy_importance;Considero que las siguientes políticas son totalmente relevantes [Demostrar acciones afirmativas como contratar a mujeres o minorías de grupos sociales excluidos.];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
199;G3_09_policy_importance;Considero que las siguientes políticas son totalmente relevantes [Retener y empoderar a mujeres de áreas STEM.];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
200;G3_10_policy_importance;Considero que las siguientes políticas son totalmente relevantes [Apoyar el crecimiento profesional de las mujeres.];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
201;G3_11_policy_importance;Considero que las siguientes políticas son totalmente relevantes [Brindar apoyo financiero a estudiantes mujeres en áreas STEM];Variables dependientes: Importancia de las políticas para promover la participación femenina en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
202;G4_01_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Garantizar un mismo salario por el mismo trabajo.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
203;G4_02_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Preservar un balance entre la vida laboral y personal.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
204;G4_03_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Erradicar el acoso sexual y violencia.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
205;G4_04_policy_existence;En mi organización existen políticas vigentes y explícitas para: [Garantizar una paridad de género para puestos de liderazgo/políticos.];Variables dependientes: Políticas de mi organización para promover la participación de las mujeres en STEM;Factor Likert;"1  Strongly disagree
2  Disagree
3  Somewhat disagree
4  Neither agree or disagree
5  Somewhat agree  
6  Agree
7  Strongly agree";
